频道名,地址,来源,检测时间,图标,分组,匹配信息,原始频道名
CCTV11,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch11122400354496191158.rsc/70045_Uni.sdp,济南联通,0,,央视频道,自有源,CCTV11
CCTV11,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000344/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道,自有源,CCTV11
CCTV11,http://123.235.73.237:9901/tsfile/live/0002_12.m3u8?key=txiptv,青岛联通,0,,央视频道,自有源,CCTV11
CCTV11,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226145/1.m3u8,上海移动,0,,央视频道,自有源,CCTV11
CCTV11,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226101/1.m3u8,上海移动,0,,央视频道,自有源,CCTV11
CCTV12,http://150.138.8.143/00/SNM/CHANNEL00000322/index.m3u8,电信单播,0,,央视频道,自有源,CCTV12
CCTV12,http://192.168.31.2:4022/rtp/239.21.1.156:5002,电信组播,0,,央视频道,自有源,CCTV12
CCTV12,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch15111015571407754299.rsc/70056_Uni.sdp,济南联通,0,,央视频道,自有源,CCTV12
CCTV12,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000322/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道,自有源,CCTV12
CCTV12,http://123.235.73.237:9901/tsfile/live/0002_13.m3u8?key=txiptv,青岛联通,0,,央视频道,自有源,CCTV12
CCTV12,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226126/1.m3u8,上海移动,0,,央视频道,自有源,CCTV12
CCTV12,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226103/1.m3u8,上海移动,0,,央视频道,自有源,CCTV12
CCTV13,http://150.138.8.143/00/SNM/CHANNEL00000345/index.m3u8,电信单播,0,,央视频道,自有源,CCTV13
CCTV13,http://192.168.31.2:4022/rtp/239.21.2.3:5002,电信组播,0,,央视频道,自有源,CCTV13
CCTV13,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch15050914361303395989.rsc/69923_Uni.sdp,济南联通,0,,央视频道,自有源,CCTV13
CCTV13,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000345/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道,自有源,CCTV13
CCTV13,http://123.235.73.237:9901/tsfile/live/0002_14.m3u8?key=txiptv,青岛联通,0,,央视频道,自有源,CCTV13
CCTV13,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226128/1.m3u8,上海移动,0,,央视频道,自有源,CCTV13
CCTV13,http://123.235.73.237:9901/tsfile/live/0002_48.m3u8?key=txiptv,青岛联通,0,,央视频道,自有源,CCTV13
CCTV14,http://150.138.8.143/00/SNM/CHANNEL00000323/index.m3u8,电信单播,0,,央视频道,自有源,CCTV14
CCTV14,http://192.168.31.2:4022/rtp/239.21.1.157:5002,电信组播,0,,央视频道,自有源,CCTV14
CCTV14,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch15111016003483433803.rsc/69975_Uni.sdp,济南联通,0,,央视频道,自有源,CCTV14
CCTV14,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000323/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道,自有源,CCTV14
CCTV14,http://123.235.73.237:9901/tsfile/live/0002_15.m3u8?key=txiptv,青岛联通,0,,央视频道,自有源,CCTV14
CCTV14,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226150/1.m3u8,上海移动,0,,央视频道,自有源,CCTV14
CCTV14,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225738/1.m3u8,上海移动,0,,央视频道,自有源,CCTV14
CCTV15,http://150.138.8.143/00/SNM/CHANNEL00000346/index.m3u8,电信单播,0,,央视频道,自有源,CCTV15
CCTV15,http://192.168.31.2:4022/rtp/239.21.2.4:5002,电信组播,0,,央视频道,自有源,CCTV15
CCTV15,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch11122400365842237336.rsc/70037_Uni.sdp,济南联通,0,,央视频道,自有源,CCTV15
CCTV15,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000346/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道,自有源,CCTV15
CCTV15,http://123.235.73.237:9901/tsfile/live/0002_16.m3u8?key=txiptv,青岛联通,0,,央视频道,自有源,CCTV15
CCTV15,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226147/1.m3u8,上海移动,0,,央视频道,自有源,CCTV15
CCTV16,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226120/1.m3u8,上海移动,0,,央视频道,自有源,CCTV16
CCTV17,http://150.138.8.143/00/SNM/CHANNEL00000303/index.m3u8,电信单播,0,,央视频道,自有源,CCTV17
CCTV17,http://192.168.31.2:4022/rtp/239.21.1.186:5002,电信组播,0,,央视频道,自有源,CCTV17
CCTV17,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch19073116233495000222.rsc/85717_Uni.sdp,济南联通,0,,央视频道,自有源,CCTV17
CCTV17,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000303/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道,自有源,CCTV17
CCTV2,http://150.138.8.143/00/SNM/CHANNEL00000317/index.m3u8,电信单播,0,,央视频道,自有源,CCTV2
CCTV2,http://192.168.31.2:4022/rtp/239.21.1.151:5002,电信组播,0,,央视频道,自有源,CCTV2
CCTV2,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch15111015505054435886.rsc/70018_Uni.sdp,济南联通,0,,央视频道,自有源,CCTV2
CCTV2,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000317/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道,自有源,CCTV2
CCTV2,http://123.235.73.237:9901/tsfile/live/0002_3.m3u8?key=txiptv,青岛联通,0,,央视频道,自有源,CCTV2
CCTV2,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226122/1.m3u8,上海移动,0,,央视频道,自有源,CCTV2
CCTV3,http://150.138.8.143/00/SNM/CHANNEL00000359/index.m3u8,电信单播,0,,央视频道,自有源,CCTV3
CCTV3,http://150.138.8.143/00/SNM/CHANNEL00000003/index.m3u8,电信单播,0,,央视频道,自有源,CCTV3
CCTV3,http://192.168.31.2:4022/rtp/239.21.2.45:5002,电信组播,0,,央视频道,自有源,CCTV3
CCTV3,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch21072816504132734115.rsc/91877_Uni.sdp,济南联通,0,,央视频道,自有源,CCTV3
CCTV3,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch12101814165876183439.rsc/70035_Uni.sdp,济南联通,0,,央视频道,自有源,CCTV3
CCTV3,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000359/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道,自有源,CCTV3
CCTV3,http://123.235.73.237:9901/tsfile/live/0002_4.m3u8?key=txiptv,青岛联通,0,,央视频道,自有源,CCTV3
CCTV3,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226165/1.m3u8,上海移动,0,,央视频道,自有源,CCTV3
CCTV4,http://150.138.8.143/00/SNM/CHANNEL00000320/index.m3u8,电信单播,0,,央视频道,自有源,CCTV4
CCTV4,http://192.168.31.2:4022/rtp/239.21.1.154:5002,电信组播,0,,央视频道,自有源,CCTV4
CCTV4,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch17121814361050007455.rsc/75843_Uni.sdp,济南联通,0,,央视频道,自有源,CCTV4
CCTV4,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch23122814382128126762.rsc/99912_Uni.sdp,济南联通,0,,央视频道,自有源,CCTV4
CCTV4,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000320/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道,自有源,CCTV4
CCTV4,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000382/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道,自有源,CCTV4
CCTV4,http://123.235.73.237:9901/tsfile/live/0002_5.m3u8?key=txiptv,青岛联通,0,,央视频道,自有源,CCTV4
CCTV4,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226124/1.m3u8,上海移动,0,,央视频道,自有源,CCTV4
CCTV-4K,http://192.168.31.2:4022/rtp/239.21.2.152:5002,电信组播,0,,4K频道,自有源,CCTV-4K
CCTV4美洲,http://150.138.8.143/00/SNM/CHANNEL00000351/index.m3u8,电信单播,0,,央视频道,自有源,CCTV4美洲
CCTV4美洲,http://192.168.31.2:4022/rtp/239.21.2.29:5002,电信组播,0,,央视频道,自有源,CCTV4美洲
CCTV4美洲,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch21062215392161397058.rsc/91682_Uni.sdp,济南联通,0,,央视频道,自有源,CCTV4美洲
CCTV4美洲,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000351/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道,自有源,CCTV4美洲
CCTV4欧洲,http://150.138.8.143/00/SNM/CHANNEL00000350/index.m3u8,电信单播,0,,央视频道,自有源,CCTV4欧洲
CCTV4欧洲,http://192.168.31.2:4022/rtp/239.21.2.28:5002,电信组播,0,,央视频道,自有源,CCTV4欧洲
CCTV4欧洲,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch21062215382556856499.rsc/91655_Uni.sdp,济南联通,0,,央视频道,自有源,CCTV4欧洲
CCTV4欧洲,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000350/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道,自有源,CCTV4欧洲
CCTV5,http://150.138.8.143/00/SNM/CHANNEL00000360/index.m3u8,电信单播,0,,央视频道,自有源,CCTV5
CCTV5,http://192.168.31.2:4022/rtp/239.21.2.46:5002,电信组播,0,,央视频道,自有源,CCTV5
CCTV5,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch21072816512692879794.rsc/91882_Uni.sdp,济南联通,0,,央视频道,自有源,CCTV5
CCTV5,rtsp://112.245.125.39:1554/iptv/import/Tvod/iptv/001/001/ch12101814173650174727.rsc/69979_Uni.sdp,济南联通,0,,央视频道,自有源,CCTV5
CCTV5,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000360/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道,自有源,CCTV5
CCTV5,http://123.235.73.237:9901/tsfile/live/0002_6.m3u8?key=txiptv,青岛联通,0,,央视频道,自有源,CCTV5
CCTV5,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226146/1.m3u8,上海移动,0,,央视频道,自有源,CCTV5
CCTV5,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225734/1.m3u8,上海移动,0,,央视频道,自有源,CCTV5
CCTV5+,http://150.138.8.143/00/SNM/CHANNEL00000316/index.m3u8,电信单播,0,,央视频道,自有源,CCTV5+
CCTV5+,http://192.168.31.2:4022/rtp/239.21.1.142:5002,电信组播,0,,央视频道,自有源,CCTV5+
CCTV5+,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch11061217321508656858.rsc/70007_Uni.sdp,济南联通,0,,央视频道,自有源,CCTV5+
CCTV5+,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000316/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道,自有源,CCTV5+
CCTV5+,http://123.235.73.237:9901/tsfile/live/0005_1.m3u8?key=txiptv,青岛联通,0,,央视频道,自有源,CCTV5+
CCTV6,http://150.138.8.143/00/SNM/CHANNEL00000361/index.m3u8,电信单播,0,,央视频道,自有源,CCTV6
CCTV6,http://150.138.8.143/00/SNM/CHANNEL00000006/index.m3u8,电信单播,0,,央视频道,自有源,CCTV6
CCTV6,http://192.168.31.2:4022/rtp/239.21.2.47:5002,电信组播,0,,央视频道,自有源,CCTV6
CCTV6,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch21072816530254611367.rsc/91842_Uni.sdp,济南联通,0,,央视频道,自有源,CCTV6
CCTV6,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch12101814181257469325.rsc/70059_Uni.sdp,济南联通,0,,央视频道,自有源,CCTV6
CCTV6,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000361/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道,自有源,CCTV6
CCTV6,http://123.235.73.237:9901/tsfile/live/0002_7.m3u8?key=txiptv,青岛联通,0,,央视频道,自有源,CCTV6
CCTV6,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226148/1.m3u8,上海移动,0,,央视频道,自有源,CCTV6
CCTV6,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225741/1.m3u8,上海移动,0,,央视频道,自有源,CCTV6
CCTV7,http://150.138.8.143/00/SNM/CHANNEL00000318/index.m3u8,电信单播,0,,央视频道,自有源,CCTV7
CCTV7,http://192.168.31.2:4022/rtp/239.21.1.152:5002,电信组播,0,,央视频道,自有源,CCTV7
CCTV7,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch15111015535263088598.rsc/69960_Uni.sdp,济南联通,0,,央视频道,自有源,CCTV7
CCTV7,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000318/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道,自有源,CCTV7
CCTV7,http://123.235.73.237:9901/tsfile/live/0002_8.m3u8?key=txiptv,青岛联通,0,,央视频道,自有源,CCTV7
CCTV7,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226143/1.m3u8,上海移动,0,,央视频道,自有源,CCTV7
CCTV7,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225701/1.m3u8,上海移动,0,,央视频道,自有源,CCTV7
CCTV8,http://150.138.8.143/00/SNM/CHANNEL00000362/index.m3u8,电信单播,0,,央视频道,自有源,CCTV8
CCTV8,http://150.138.8.143/00/SNM/CHANNEL00000008/index.m3u8,电信单播,0,,央视频道,自有源,CCTV8
CCTV8,http://192.168.31.2:4022/rtp/239.21.2.48:5002,电信组播,0,,央视频道,自有源,CCTV8
CCTV8,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch21072816531463294165.rsc/91850_Uni.sdp,济南联通,0,,央视频道,自有源,CCTV8
CCTV8,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch12101814184171314624.rsc/70064_Uni.sdp,济南联通,0,,央视频道,自有源,CCTV8
CCTV8,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000362/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道,自有源,CCTV8
CCTV8,http://123.235.73.237:9901/tsfile/live/0002_9.m3u8?key=txiptv,青岛联通,0,,央视频道,自有源,CCTV8
CCTV8,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226167/1.m3u8,上海移动,0,,央视频道,自有源,CCTV8
CCTV8,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225736/1.m3u8,上海移动,0,,央视频道,自有源,CCTV8
CCTV9,http://150.138.8.143/00/SNM/CHANNEL00000319/index.m3u8,电信单播,0,,央视频道,自有源,CCTV9
CCTV9,http://192.168.31.2:4022/rtp/239.21.1.153:5002,电信组播,0,,央视频道,自有源,CCTV9
CCTV9,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch15050917541424212319.rsc/70042_Uni.sdp,济南联通,0,,央视频道,自有源,CCTV9
CCTV9,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000319/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道,自有源,CCTV9
CCTV9,http://123.235.73.237:9901/tsfile/live/0002_10.m3u8?key=txiptv,青岛联通,0,,央视频道,自有源,CCTV9
CETV1,http://150.138.8.143/00/SNM/CHANNEL00000076/index.m3u8,电信单播,0,,卫视频道,自有源,CETV1
CETV1,http://192.168.31.2:4022/rtp/239.21.2.7:5002,电信组播,0,,卫视频道,自有源,CETV1
CETV1,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch17120418204481298161.rsc/74278_Uni.sdp,济南联通,0,,卫视频道,自有源,CETV1
CETV1,http://123.235.73.237:9901/tsfile/live/0002_46.m3u8?key=txiptv,青岛联通,0,,卫视频道,自有源,CETV1
CETV1,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225775/1.m3u8,上海移动,0,,卫视频道,自有源,CETV1
CETV2,http://150.138.8.143/00/SNM/CHANNEL00000077/index.m3u8,电信单播,0,,卫视频道,自有源,CETV2
CETV2,http://192.168.31.2:4022/rtp/239.21.2.8:5002,电信组播,0,,卫视频道,自有源,CETV2
CETV2,rtsp://112.245.125.39:1554/iptv/import/Tvod/iptv/001/001/ch17120417211408620162.rsc/74298_Uni.sdp,济南联通,0,,卫视频道,自有源,CETV2
CETV2,http://123.235.73.237:9901/tsfile/live/0002_51.m3u8?key=txiptv,青岛联通,0,,卫视频道,自有源,CETV2
CETV4,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226153/1.m3u8,上海移动,0,,卫视频道,自有源,CETV4
CETV4,http://150.138.8.143/00/SNM/CHANNEL00000666/index.m3u8,电信单播,0,,卫视频道,自有源,CETV4
CETV4,http://192.168.31.2:4022/rtp/239.21.2.129:5002,电信组播,0,,卫视频道,自有源,CETV4
CETV4,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch17120418055568047747.rsc/74289_Uni.sdp,济南联通,0,,卫视频道,自有源,CETV4
CETV生态环境,http://150.138.8.143/00/SNM/CHANNEL00000671/index.m3u8,电信单播,0,,卫视频道,自有源,CETV生态环境
CETV生态环境,http://150.138.8.143/00/SNM/CHANNEL00000644/index.m3u8,电信单播,0,,卫视频道,自有源,CETV生态环境
CETV生态环境,http://192.168.31.2:4022/rtp/239.21.2.160:5002,电信组播,0,,卫视频道,自有源,CETV生态环境
CETV生态环境,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch24111213061931833007.rsc/101604_Uni.sdp,济南联通,0,,数字频道,自有源,CETV生态环境
CGTN,http://150.138.8.143/00/SNM/CHANNEL00000352/index.m3u8,电信单播,0,,卫视频道,自有源,CGTN
CGTN,http://150.138.8.143/00/SNM/CHANNEL00000009/index.m3u8,电信单播,0,,卫视频道,自有源,CGTN
CGTN,http://192.168.31.2:4022/rtp/239.21.2.30:5002,电信组播,0,,卫视频道,自有源,CGTN
CGTN,http://192.168.31.2:4022/rtp/239.21.1.10:5002,电信组播,0,,卫视频道,自有源,CGTN
CGTN,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch15050914501799552135.rsc/70003_Uni.sdp,济南联通,0,,卫视频道,自有源,CGTN
CGTN,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000352/index.m3u8?IASHttpSessionId=,济南移动,0,,卫视频道,自有源,CGTN
CGTN阿语,http://150.138.8.143/00/SNM/CHANNEL00000356/index.m3u8,电信单播,0,,卫视频道,自有源,CGTN阿语
CGTN阿语,http://192.168.31.2:4022/rtp/239.21.2.34:5002,电信组播,0,,卫视频道,自有源,CGTN阿语
CGTN阿语,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch21062215414116185265.rsc/91594_Uni.sdp,济南联通,0,,卫视频道,自有源,CGTN阿语
CGTN阿语,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000356/index.m3u8?IASHttpSessionId=,济南移动,0,,卫视频道,自有源,CGTN阿语
CGTN俄语,http://150.138.8.143/00/SNM/CHANNEL00000357/index.m3u8,电信单播,0,,卫视频道,自有源,CGTN俄语
CGTN俄语,http://192.168.31.2:4022/rtp/239.21.2.35:5002,电信组播,0,,卫视频道,自有源,CGTN俄语
CGTN俄语,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch21062215415309865050.rsc/91606_Uni.sdp,济南联通,0,,卫视频道,自有源,CGTN俄语
CGTN俄语,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000357/index.m3u8?IASHttpSessionId=,济南移动,0,,卫视频道,自有源,CGTN俄语
CGTN法语,http://150.138.8.143/00/SNM/CHANNEL00000355/index.m3u8,电信单播,0,,卫视频道,自有源,CGTN法语
CGTN法语,http://192.168.31.2:4022/rtp/239.21.2.33:5002,电信组播,0,,卫视频道,自有源,CGTN法语
CGTN法语,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch21062215412921826390.rsc/91584_Uni.sdp,济南联通,0,,卫视频道,自有源,CGTN法语
CGTN法语,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000355/index.m3u8?IASHttpSessionId=,济南移动,0,,卫视频道,自有源,CGTN法语
CGTN纪录,http://150.138.8.143/00/SNM/CHANNEL00000353/index.m3u8,电信单播,0,,卫视频道,自有源,CGTN纪录
CGTN纪录,http://192.168.31.2:4022/rtp/239.21.2.31:5002,电信组播,0,,卫视频道,自有源,CGTN纪录
CGTN纪录,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch21062215405197977873.rsc/91702_Uni.sdp,济南联通,0,,卫视频道,自有源,CGTN纪录
CGTN纪录,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000353/index.m3u8?IASHttpSessionId=,济南移动,0,,卫视频道,自有源,CGTN纪录
CGTN西语,http://150.138.8.143/00/SNM/CHANNEL00000354/index.m3u8,电信单播,0,,卫视频道,自有源,CGTN西语
CGTN西语,http://192.168.31.2:4022/rtp/239.21.2.32:5002,电信组播,0,,卫视频道,自有源,CGTN西语
CGTN西语,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch21062215411249555526.rsc/91514_Uni.sdp,济南联通,0,,卫视频道,自有源,CGTN西语
cgtn西语,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000354/index.m3u8?IASHttpSessionId=,济南移动,0,,卫视频道,自有源,cgtn西语
CHC动作电影,http://150.138.8.143/00/SNM/CHANNEL00002030/index.m3u8,电信单播,0,,数字频道,自有源,CHC动作电影
CHC动作电影,http://192.168.31.2:4022/rtp/239.21.2.128:5002,电信组播,0,,数字频道,自有源,CHC动作电影
CHC动作电影,rtsp://112.245.125.39:1554/iptv/import/Tvod/iptv/001/001/ch18120514100139517699.rsc/81477_Uni.sdp,济南联通,0,,数字频道,自有源,CHC动作电影
CHC动作电影,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00002030/index.m3u8?IASHttpSessionId=,济南移动,0,,数字频道,自有源,CHC动作电影
CHC动作电影,http://123.235.73.237:9901/tsfile/live/0002_68.m3u8?key=txiptv,青岛联通,0,,数字频道,自有源,CHC动作电影
CHC家庭影院,http://150.138.8.143/00/SNM/CHANNEL00002028/index.m3u8,电信单播,0,,数字频道,自有源,CHC家庭影院
CHC家庭影院,http://192.168.31.2:4022/rtp/239.21.2.126:5002,电信组播,0,,数字频道,自有源,CHC家庭影院
CHC家庭影院,rtsp://112.245.125.39:1554/iptv/import/Tvod/iptv/001/001/ch18120514091718394256.rsc/81481_Uni.sdp,济南联通,0,,数字频道,自有源,CHC家庭影院
CHC家庭影院,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00002028/index.m3u8?IASHttpSessionId=,济南移动,0,,数字频道,自有源,CHC家庭影院
CHC影迷电影,http://150.138.8.143/00/SNM/CHANNEL00002029/index.m3u8,电信单播,0,,数字频道,自有源,CHC影迷电影
CHC影迷电影,http://192.168.31.2:4022/rtp/239.21.2.127:5002,电信组播,0,,数字频道,自有源,CHC影迷电影
CHC影迷电影,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch18120514102191199606.rsc/81478_Uni.sdp,济南联通,0,,数字频道,自有源,CHC影迷电影
